阿爸 a1/ba4
解手 jie3/shou3
解说 jie3/shuo1
解体 jie3/ti3
解脱 jie3/tuo1
解围 jie3/wei2
解析 jie3/xi1
解职 jie3/zhi2
介面 jie4/mian4
介入 jie4/ru4
介绍 jie4/shao4
介意 jie4/yi4
介于 jie4/yu2
介质 jie4/zhi4
戒备 jie4/bei4
戒除 jie4/chu2
戒律 jie4/lv4
戒心 jie4/xin1
戒烟 jie4/yan1
戒严 jie4/yan2
戒指 jie4/zhi3
届满 jie4/man3
届时 jie4/shi2
界碑 jie4/bei1
界河 jie4/he2
界面 jie4/mian4
界线 jie4/xian4
界限 jie4/xian4
界桩 jie4/zhuang1
借贷 jie4/dai4
借调 jie4/diao4
借方 jie4/fang1
借故 jie4/gu4
借鉴 jie4/jian4
借口 jie4/kou3
借款 jie4/kuan3
借书 jie4/shu1
借条 jie4/tiao2
借以 jie4/yi3
借用 jie4/yong4
借阅 jie4/yue4
借债 jie4/zhai4
借支 jie4/zhi1
借助 jie4/zhu4
藉以 ji2/yi3
巾帼 jin1/guo2
今朝 jin1/chao2
今晨 jin1/chen2
今春 jin1/chun1
今冬 jin1/dong1
今儿 jin1/er2
今后 jin1/hou4
今年 jin1/nian2
今起 jin1/qi3
今秋 jin1/qiu1
今日 jin1/ri4
今是 jin1/shi4
今天 jin1/tian1
今晚 jin1/wan3
今昔 jin1/xi1
今夏 jin1/xia4
斤两 jin1/liang3
金杯 jin1/bei1
金笔 jin1/bi3
金币 jin1/bi4
金边 jin1/bian1
金昌 jin1/chang1
金额 jin1/e2
金刚 jin1/gang1
金工 jin1/gong1
金光 jin1/guang1
金华 jin1/hua2
金黄 jin1/huang2
金价 jin1/jia4
金奖 jin1/jiang3
金卡 jin1/ka3
金库 jin1/ku4
金矿 jin1/kuang4
金门 jin1/men2
金牌 jin1/pai2
金钱 jin1/qian2
金融 jin1/rong2
金色 jin1/se4
金星 jin1/xing1
金银 jin1/yin2
金鱼 jin1/yu2
金质 jin1/zhi4
金属 jin1/shu3
金子 jin1/zi
津贴 jin1/tie1
矜持 jin1/chi2
筋斗 jin1/dou4
筋骨 jin1/gu3
襟怀 jin1/huai2
仅存 jin3/cun2
仅管 jin3/guan3
仅仅 jin3/jin3
仅靠 jin3/kao4
仅限 jin3/xian4
仅有 jin3/you3
紧逼 jin3/bi1
紧凑 jin3/cou4
紧跟 jin3/gen1
紧急 jin3/ji2
紧接 jin3/jie1
紧紧 jin3/jin3
紧靠 jin3/kao4
紧邻 jin3/lin2
紧密 jin3/mi4
紧迫 jin3/po4
紧俏 jin3/qiao4
紧缺 jin3/que1
紧缩 jin3/suo1
紧握 jin3/wo4
紧要 jin3/yao4
紧张 jin3/zhang1
紧着 jin3/zhe
谨防 jin3/fang2
谨慎 jin3/shen4
谨严 jin3/yan2
锦标 jin3/biao1
锦纶 jin3/lun2
锦旗 jin3/qi2
锦西 jin3/xi1
锦秀 jin3/xiu4
锦绣 jin3/xiu4
锦州 jin3/zhou1
尽管 jin3/guan3
尽快 jin3/kuai4
尽力 jin3/li4
尽量 jin3/liang4
尽情 jin3/qing2
尽是 jin3/shi4
尽速 jin3/su4
尽头 jin3/tou2
尽心 jin3/xin1
尽兴 jin3/xing4
尽早 jin3/zao3
尽责 jin3/ze2
尽职 jin3/zhi2
劲敌 jin4/di2
劲旅 jin4/lv3
劲头 jin4/tou2
近处 jin4/chu4
近代 jin4/dai4
近海 jin4/hai3
近乎 jin4/hu1
近郊 jin4/jiao1
近况 jin4/kuang4
近来 jin4/lai2
近邻 jin4/lin2
近年 jin4/nian2
近旁 jin4/pang2
近期 jin4/qi1
近前 jin4/qian2
近日 jin4/ri4
近视 jin4/shi4
近似 jin4/shi4
进步 jin4/bu4
进餐 jin4/can1
进城 jin4/cheng2
进程 jin4/cheng2
进出 jin4/chu1
进度 jin4/du4
进而 jin4/er2
进发 jin4/fa1
进犯 jin4/fan4
进攻 jin4/gong1
进化 jin4/hua4
进货 jin4/huo4
进京 jin4/jing1
进军 jin4/jun1
进口 jin4/kou3
进款 jin4/kuan3
进来 jin4/lai2
进门 jin4/men2
进取 jin4/qu3
进去 jin4/qu4
进入 jin4/ru4
进山 jin4/shan1
进食 jin4/shi2
进水 jin4/shui3
进退 jin4/tui4
进行 jin4/xing2
进修 jin4/xiu1
进言 jin4/yan2
进展 jin4/zhan3
进驻 jin4/zhu4
晋城 jin4/cheng2
晋级 jin4/ji2
晋升 jin4/sheng1
晋中 jin4/zhong1
浸沉 jin4/chen2
浸泡 jin4/pao4
浸染 jin4/ran3
浸入 jin4/ru4
浸润 jin4/run4
浸透 jin4/tou4
浸种 jin4/zhong3
浸渍 jin4/zi4
缙云 jin4/yun2
禁闭 jin4/bi4
禁毒 jin4/du2
禁锢 jin4/gu4
禁忌 jin4/ji4
禁令 jin4/ling4
禁区 jin4/qu1
禁烟 jin4/yan1
禁用 jin4/yong4
禁运 jin4/yun4
禁止 jin4/zhi3
京城 jing1/cheng2
京东 jing1/dong1
京都 jing1/dou1
京广 jing1/guang3
京海 jing1/hai3
京沪 jing1/hu4
京华 jing1/hua2
京郊 jing1/jiao1
京津 jing1/jin1
京剧 jing1/ju4
京西 jing1/xi1
京戏 jing1/xi4
经办 jing1/ban4
经常 jing1/chang2
经典 jing1/dian3
经费 jing1/fei4
经过 jing1/guo4
经纪 jing1/ji4
经济 jing1/ji4
经久 jing1/jiu3
经理 jing1/li3
经历 jing1/li4
经络 jing1/luo4
经贸 jing1/mao4
经纱 jing1/sha1
经商 jing1/shang1
经手 jing1/shou3
经受 jing1/shou4
经纬 jing1/wei3
经委 jing1/wei3
经线 jing1/xian4
经销 jing1/xiao1
经心 jing1/xin1
经学 jing1/xue2
经验 jing1/yan4
经营 jing1/ying2
经由 jing1/you2
荆棘 jing1/ji2
荆门 jing1/men2
荆州 jing1/zhou1
惊诧 jing1/cha4
惊动 jing1/dong4
惊愕 jing1/e4
惊骇 jing1/hai4
惊呼 jing1/hu1
惊慌 jing1/huang1
惊惶 jing1/huang2
惊叫 jing1/jiao4
惊恐 jing1/kong3
惊奇 jing1/qi2
惊扰 jing1/rao3
惊人 jing1/ren2
惊叹 jing1/tan4
惊喜 jing1/xi3
惊吓 jing1/xia4
惊险 jing1/xian3
惊心 jing1/xin1
惊醒 jing1/xing3
惊讶 jing1/ya4
惊疑 jing1/yi2
惊异 jing1/yi4
晶粒 jing1/li4
晶体 jing1/ti3
晶莹 jing1/ying2
精辟 jing1/pi4
精兵 jing1/bing1
精采 jing1/cai3
精彩 jing1/cai3
精诚 jing1/cheng2
精粹 jing1/cui4
精读 jing1/du2
精度 jing1/du4
精纺 jing1/fang3
精干 jing1/gan4
精耕 jing1/geng1
精工 jing1/gong1
精光 jing1/guang1
精悍 jing1/han4
精华 jing1/hua2
精减 jing1/jian3
精简 jing1/jian3
精矿 jing1/kuang4
精力 jing1/li4
精练 jing1/lian4
精炼 jing1/lian4
精良 jing1/liang2
精馏 jing1/liu2
精美 jing1/mei3
精密 jing1/mi4
精明 jing1/ming2
精品 jing1/pin3
精巧 jing1/qiao3
精确 jing1/que4
精锐 jing1/rui4
精神 jing1/shen2
精髓 jing1/sui3
精通 jing1/tong1
精细 jing1/xi4
精心 jing1/xin1
精选 jing1/xuan3
精盐 jing1/yan2
精液 jing1/ye4
精英 jing1/ying1
精湛 jing1/zhan4
精制 jing1/zhi4
精致 jing1/zhi4
精装 jing1/zhuang1
精子 jing1/zi
鲸吞 jing1/tun1
鲸鱼 jing1/yu2
井架 jing3/jia4
井喷 jing3/pen1
井然 jing3/ran2
井台 jing3/tai2
井田 jing3/tian2
井下 jing3/xia4
井盐 jing3/yan2
颈项 jing3/xiang4
颈椎 jing3/chui2
景点 jing3/dian3
景观 jing3/guan1
景况 jing3/kuang4
景颇 jing3/po3
景气 jing3/qi4
景色 jing3/se4
景物 jing3/wu4
景象 jing3/xiang4
景仰 jing3/yang3
景致 jing3/zhi4
警报 jing3/bao4
警备 jing3/bei4
警察 jing3/cha2
警车 jing3/che1
警笛 jing3/di2
警方 jing3/fang1
警告 jing3/gao4
警戒 jing3/jie4
警句 jing3/ju4
警觉 jing3/jue2
警惕 jing3/ti4
警卫 jing3/wei4
警钟 jing3/zhong1
净额 jing4/e2
净化 jing4/hua4
净利 jing4/li4
净增 jing4/zeng1
净值 jing4/zhi2
净重 jing4/zhong4
径流 jing4/liu2
径向 jing4/xiang4
径直 jing4/zhi2
痉挛 jing4/luan2
竞技 jing4/ji4
竞赛 jing4/sai4
竞投 jing4/tou2
竞相 jing4/xiang1
竞选 jing4/xuan3
竞争 jing4/zheng1
竟达 jing4/da2
竟敢 jing4/gan3
竟然 jing4/ran2
竟是 jing4/shi4
竟未 jing4/wei4
竟有 jing4/you3
竟址 jing4/zhi3
敬爱 jing4/ai4
敬老 jing4/lao3
敬礼 jing4/li3
敬慕 jing4/mu4
敬佩 jing4/pei4
敬请 jing4/qing3
敬畏 jing4/wei4
敬献 jing4/xian4
敬仰 jing4/yang3
敬意 jing4/yi4
敬重 jing4/zhong4
敬祝 jing4/zhu4
境地 jing4/de
境界 jing4/jie4
境况 jing4/kuang4
境内 jing4/nei4
境外 jing4/wai4
境遇 jing4/yu4
静电 jing4/dian4
静观 jing4/guan1
静候 jing4/hou4
静寂 jing4/ji4
静静 jing4/jing4
静脉 jing4/mai4
静默 jing4/mo4
静色 jing4/se4
静态 jing4/tai4
静听 jing4/ting1
静压 jing4/ya1
静养 jing4/yang3
静止 jing4/zhi3
静坐 jing4/zuo4
镜片 jing4/pian4
镜头 jing4/tou2
镜子 jing4/zi
迥然 jiong3/ran2
炯炯 jiong3/jiong3
窘境 jiong3/jing4
窘迫 jiong3/po4
纠察 jiu1/cha2
纠缠 jiu1/chan2
纠纷 jiu1/fen1
纠葛 jiu1/ge2
纠集 jiu1/ji2
纠偏 jiu1/pian1
纠正 jiu1/zheng4
究竟 jiu1/jing4
鸠集 jiu1/ji2
阄割 jiu1/ge1
揪心 jiu1/xin1
九成 jiu3/cheng2
九大 jiu3/da4
九江 jiu3/jiang1
九届 jiu3/jie4
九龙 jiu3/long2
九十 jiu3/shi2
九月 jiu3/yue4
九州 jiu3/zhou1
九洲 jiu3/zhou1
久别 jiu3/bie2
久经 jiu3/jing1
久留 jiu3/liu2
久违 jiu3/wei2
久仰 jiu3/yang3
久远 jiu3/yuan3
酒巴 jiu3/ba1
酒吧 jiu3/ba
酒杯 jiu3/bei1
酒厂 jiu3/chang3
酒店 jiu3/dian4
酒后 jiu3/hou4
酒会 jiu3/hui4
酒家 jiu3/jia1
酒精 jiu3/jing1
酒类 jiu3/lei4
酒量 jiu3/liang4
酒楼 jiu3/lou2
酒窝 jiu3/wo1
酒席 jiu3/xi2
旧历 jiu4/li4
旧貌 jiu4/mao4
旧式 jiu4/shi4
旧址 jiu4/zhi3
旧制 jiu4/zhi4
救兵 jiu4/bing1
救出 jiu4/chu1
救国 jiu4/guo2
救护 jiu4/hu4
救活 jiu4/huo2
救火 jiu4/huo3
救急 jiu4/ji2
救济 jiu4/ji4
救命 jiu4/ming4
救人 jiu4/ren2
救生 jiu4/sheng1
救亡 jiu4/wang2
救险 jiu4/xian3
救星 jiu4/xing1
救援 jiu4/yuan2
救灾 jiu4/zai1
救治 jiu4/zhi4
救助 jiu4/zhu4
就餐 jiu4/can1
就此 jiu4/ci3
就地 jiu4/de
就范 jiu4/fan4
就会 jiu4/hui4
就近 jiu4/jin4
就能 jiu4/neng2
就让 jiu4/rang4
就任 jiu4/ren4
就事 jiu4/shi4
就势 jiu4/shi4
就是 jiu4/shi4
就算 jiu4/suan4
就位 jiu4/wei4
就绪 jiu4/xu4
就学 jiu4/xue2
就要 jiu4/yao4
就业 jiu4/ye4
就医 jiu4/yi1
就在 jiu4/zai4
就职 jiu4/zhi2
就座 jiu4/zuo4
舅父 jiu4/fu4
舅舅 jiu4/jiu4
居多 ju1/duo1
居功 ju1/gong1
居留 ju1/liu2
居民 ju1/min2
居然 ju1/ran2
居心 ju1/xin1
居于 ju1/yu2
居中 ju1/zhong1
居住 ju1/zhu4
拘捕 ju1/bu3
拘谨 ju1/jin3
拘禁 ju1/jin4
拘留 ju1/liu2
拘泥 ju1/ni2
拘束 ju1/shu4
鞠躬 ju1/gong1
局部 ju2/bu4
局长 ju2/zhang3
局促 ju2/cu4
局级 ju2/ji2
局面 ju2/mian4
局势 ju2/shi4
局外 ju2/wai4
局限 ju2/xian4
桔子 ju2/zi
菊花 ju2/hua1
橘子 ju2/zi
咀嚼 ju3/jue2
沮丧 ju3/sang4
举办 ju3/ban4
举报 ju3/bao4
举杯 ju3/bei1
举出 ju3/chu1
举动 ju3/dong4
举国 ju3/guo2
举例 ju3/li4
举目 ju3/mu4
举起 ju3/qi3
举人 ju3/ren2
举世 ju3/shi4
举手 ju3/shou3
举行 ju3/xing2
举止 ju3/zhi3
举重 ju3/zhong4
矩形 ju3/xing2
矩阵 ju3/zhen4
句法 ju4/fa3
句号 ju4/hao4
句子 ju4/zi
巨变 ju4/bian4
巨大 ju4/da4
巨额 ju4/e2
巨幅 ju4/fu2
巨匠 ju4/jiang4
巨款 ju4/kuan3
巨轮 ju4/lun2
巨人 ju4/ren2
巨头 ju4/tou2
巨响 ju4/xiang3
巨型 ju4/xing2
巨著 ju4/zhe
巨资 ju4/zi1
拒不 ju4/bu4
拒付 ju4/fu4
拒贿 ju4/hui4
拒绝 ju4/jue2
拒收 ju4/shou1
具备 ju4/bei4
具体 ju4/ti3
具有 ju4/you3
俱全 ju4/quan2
剧本 ju4/ben3
剧场 ju4/chang3
剧毒 ju4/du2
剧减 ju4/jian3
剧烈 ju4/lie4
剧目 ju4/mu4
剧痛 ju4/tong4
剧团 ju4/tuan2
剧院 ju4/yuan4
剧增 ju4/zeng1
剧照 ju4/zhao4
剧终 ju4/zhong1
惧怕 ju4/pa4
据查 ju4/cha2
据称 ju4/cheng1
据传 ju4/chuan2
据此 ju4/ci3
据点 ju4/dian3
据说 ju4/shuo1
据闻 ju4/wen2
据悉 ju4/xi1
据有 ju4/you3
距今 ju4/jin1
距离 ju4/li2
飓风 ju4/feng1
锯齿 ju4/chi3
聚变 ju4/bian4
聚餐 ju4/can1
聚合 ju4/he2
聚会 ju4/hui4
聚积 ju4/ji1
聚集 ju4/ji2
聚焦 ju4/jiao1
聚居 ju4/ju1
聚敛 ju4/lian3
聚拢 ju4/long3
聚醚 ju4/mi2
聚首 ju4/shou3
聚众 ju4/zhong4
遽然 ju4/ran2
捐款 juan1/kuan3
捐躯 juan1/qu1
捐献 juan1/xian4
捐赠 juan1/zeng4
捐助 juan1/zhu4
捐资 juan1/zi1
卷进 juan3/jin4
卷曲 juan3/qu1
卷绕 juan3/rao4
卷入 juan3/ru4
卷筒 juan3/tong3
卷烟 juan3/yan1
卷帙 juan3/zhi4
卷宗 juan3/zong1
倦怠 juan4/dai4
倦意 juan4/yi4
眷恋 juan4/lian4
眷念 juan4/nian4
眷属 juan4/shu3
决不 jue2/bu4
决策 jue2/ce4
决出 jue2/chu1
决定 jue2/ding4
决断 jue2/duan4
决计 jue2/ji4
决口 jue2/kou3
决裂 jue2/lie4
决然 jue2/ran2
决赛 jue2/sai4
决胜 jue2/sheng4
决死 jue2/si3
决算 jue2/suan4
决心 jue2/xin1
决议 jue2/yi4
决意 jue2/yi4
决战 jue2/zhan4
诀别 jue2/bie2
诀窍 jue2/qiao4
抉择 jue2/ze2
绝壁 jue2/bi4
绝不 jue2/bu4
绝顶 jue2/ding3
绝对 jue2/dui4
绝非 jue2/fei1
绝活 jue2/huo2
绝迹 jue2/ji1
绝技 jue2/ji4
绝交 jue2/jiao1
绝径 jue2/jing4
绝境 jue2/jing4
绝句 jue2/ju4
绝路 jue2/lu4
绝密 jue2/mi4
绝妙 jue2/miao4
绝食 jue2/shi2
绝望 jue2/wang4
绝育 jue2/yu4
绝缘 jue2/yuan2
绝招 jue2/zhao1
绝症 jue2/zheng4
绝种 jue2/zhong3
觉察 jue2/cha2
觉得 jue2/de2
觉悟 jue2/wu4
觉醒 jue2/xing3
觉着 jue2/zhe
倔强 jue2/qiang2
崛起 jue2/qi3
掘进 jue2/jin4
爵位 jue2/wei4
镢头 jue2/tou2
军备 jun1/bei4
军部 jun1/bu4
军操 jun1/cao1
军长 jun1/zhang3
军车 jun1/che1
军队 jun1/dui4
军阀 jun1/fa2
军法 jun1/fa3
军方 jun1/fang1
军费 jun1/fei4
军风 jun1/feng1
军服 jun1/fu2
军港 jun1/gang3
军歌 jun1/ge1
军工 jun1/gong1
军官 jun1/guan1
军火 jun1/huo3
军机 jun1/ji1
军籍 jun1/ji2
军纪 jun1/ji4
军舰 jun1/jian4
军界 jun1/jie4
军警 jun1/jing3
军垦 jun1/ken3
军乐 jun1/le4
军礼 jun1/li3
军力 jun1/li4
军粮 jun1/liang2
军龄 jun1/ling2
军令 jun1/ling4
军旅 jun1/lv3
军民 jun1/min2
军品 jun1/pin3
军旗 jun1/qi2
军区 jun1/qu1
军权 jun1/quan2
军人 jun1/ren2
军容 jun1/rong2
军师 jun1/shi1
军事 jun1/shi4
军团 jun1/tuan2
军威 jun1/wei1
军委 jun1/wei3
军务 jun1/wu4
军衔 jun1/xian2
军饷 jun1/xiang3
军校 jun1/xiao4
军械 jun1/xie4
军心 jun1/xin1
军需 jun1/xu1
军训 jun1/xun4
军衣 jun1/yi1
军医 jun1/yi1
军营 jun1/ying2
军用 jun1/yong4
军邮 jun1/you2
军援 jun1/yuan2
军政 jun1/zheng4
军职 jun1/zhi2
军种 jun1/zhong3
军属 jun1/shu3
军装 jun1/zhuang1
君臣 jun1/chen2
君权 jun1/quan2
君主 jun1/zhu3
君子 jun1/zi
均不 jun1/bu4
均等 jun1/deng3
均分 jun1/fen1
均衡 jun1/heng2
均可 jun1/ke3
均能 jun1/neng2
均势 jun1/shi4
均未 jun1/wei4
均无 jun1/wu2
均需 jun1/xu1
均已 jun1/yi3
均应 jun1/ying1
均由 jun1/you2
均有 jun1/you3
均匀 jun1/yun2
菌肥 jun1/fei2
菌核 jun1/he2
菌丝 jun1/si1
菌种 jun1/zhong3
菌株 jun1/zhu1
俊杰 jun4/jie2
俊美 jun4/mei3
俊俏 jun4/qiao4
俊秀 jun4/xiu4
峻岭 jun4/ling3
峻峭 jun4/qiao4
骏马 jun4/ma3
竣工 jun4/gong1
咖啡 ka1/fei1
喀嚓 ka1/ca1
喀什 ka1/shen2
卡车 ka3/che1
卡片 ka3/pian4
卡住 ka3/zhu4
开办 kai1/ban4
开辟 kai1/pi4
开遍 kai1/bian4
开标 kai1/biao1
开采 kai1/cai3
开场 kai1/chang3
开车 kai1/che1
开除 kai1/chu2
开船 kai1/chuan2
开创 kai1/chuang4
开春 kai1/chun1
开单 kai1/dan1
开刀 kai1/dao1
开导 kai1/dao3
开道 kai1/dao4
开动 kai1/dong4
开端 kai1/duan1
开发 kai1/fa1
开饭 kai1/fan4
开方 kai1/fang1
开放 kai1/fang4
开封 kai1/feng1
开赴 kai1/fu4
开工 kai1/gong1
开关 kai1/guan1
开馆 kai1/guan3
开国 kai1/guo2
开航 kai1/hang2
开户 kai1/hu4
开花 kai1/hua1
开化 kai1/hua4
开怀 kai1/huai2
开荒 kai1/huang1
开会 kai1/hui4
开火 kai1/huo3
开机 kai1/ji1
开局 kai1/ju2
开据 kai1/ju4
开卷 kai1/juan3
开掘 kai1/jue2
开课 kai1/ke4
开垦 kai1/ken3
开口 kai1/kou3
开矿 kai1/kuang4
开阔 kai1/kuo4
开来 kai1/lai2
开郎 kai1/lang2
开朗 kai1/lang3
开镰 kai1/lian2
开列 kai1/lie4
开炉 kai1/lu2
开路 kai1/lu4
开罗 kai1/luo2
开满 kai1/man3
开门 kai1/men2
开明 kai1/ming2
开幕 kai1/mu4
开盘 kai1/pan2
开炮 kai1/pao4
开票 kai1/piao4
开启 kai1/qi3
开枪 kai1/qiang1
开窍 kai1/qiao4
开球 kai1/qiu2
开赛 kai1/sai4
开山 kai1/shan1
开设 kai1/she4
开始 kai1/shi3
开市 kai1/shi4
开水 kai1/shui3
开庭 kai1/ting2
开通 kai1/tong1
开头 kai1/tou2
开脱 kai1/tuo1
开拓 kai1/ta4
开挖 kai1/wa1
开外 kai1/wai4
开往 kai1/wang3
开销 kai1/xiao1
开心 kai1/xin1
开学 kai1/xue2
开颜 kai1/yan2
开眼 kai1/yan3
开业 kai1/ye4
开源 kai1/yuan2
开凿 kai1/zao2
开展 kai1/zhan3
开战 kai1/zhan4
开张 kai1/zhang1
开支 kai1/zhi1
开钻 kai1/zuan1
凯歌 kai3/ge1
凯旋 kai3/xuan2
铠甲 kai3/jia3
楷模 kai3/mo2
楷书 kai3/shu1
楷体 kai3/ti3
刊登 kan1/deng1
刊号 kan1/hao4
刊头 kan1/tou2
刊物 kan1/wu4
刊载 kan1/zai4
勘测 kan1/ce4
勘查 kan1/cha2
勘察 kan1/cha2
勘探 kan1/tan4
勘误 kan1/wu4
堪称 kan1/cheng1
坎坷 kan3/ke3
砍掉 kan3/diao4
砍伐 kan3/fa2
看报 kan4/bao4
看病 kan4/bing4
看成 kan4/cheng2
看出 kan4/chu1
看待 kan4/dai4
看到 kan4/dao4
看法 kan4/fa3
看稿 kan4/gao3
看管 kan4/guan3
看过 kan4/guo4
看好 kan4/hao3
看护 kan4/hu4
看见 kan4/jian4
看看 kan4/kan4
看来 kan4/lai2
看齐 kan4/qi2
看清 kan4/qing1
看去 kan4/qu4
看上 kan4/shang4
看守 kan4/shou3
看书 kan4/shu1
看似 kan4/shi4
看台 kan4/tai2
看透 kan4/tou4
看望 kan4/wang4
看戏 kan4/xi4
看样 kan4/yang4
看涨 kan4/zhang3
看中 kan4/zhong1
看重 kan4/zhong4
看作 kan4/zuo4
看做 kan4/zuo4
康复 kang1/fu4
康熙 kang1/xi1
慷慨 kang1/kai3
亢奋 kang4/fen4
亢进 kang4/jin4
伉俪 kang4/li4
抗癌 kang4/ai2
抗暴 kang4/bao4
抗病 kang4/bing4
抗敌 kang4/di2
抗寒 kang4/han2
抗旱 kang4/han4
抗衡 kang4/heng2
抗洪 kang4/hong2
抗击 kang4/ji1
抗拒 kang4/ju4
抗涝 kang4/lao4
抗日 kang4/ri4
抗税 kang4/shui4
抗体 kang4/ti3
抗议 kang4/yi4
抗御 kang4/yu4
抗灾 kang4/zai1
抗战 kang4/zhan4
抗震 kang4/zhen4
抗争 kang4/zheng1
炕头 kang4/tou2
考查 kao3/cha2
考察 kao3/cha2
考场 kao3/chang3
考古 kao3/gu3
考核 kao3/he2
考绩 kao3/ji1
考究 kao3/jiu1
考据 kao3/ju4
考卷 kao3/juan3
考虑 kao3/lv4
考评 kao3/ping2
考勤 kao3/qin2
考取 kao3/qu3
考上 kao3/shang4
考生 kao3/sheng1
考试 kao3/shi4
考题 kao3/ti2
考验 kao3/yan4
考证 kao3/zheng4
拷贝 kao3/bei4
拷打 kao3/da3
拷入 kao3/ru4
烤烟 kao3/yan1
犒劳 kao4/lao2
犒赏 kao4/shang3
靠岸 kao4/an4
靠边 kao4/bian1
靠近 kao4/jin4
靠拢 kao4/long3
靠山 kao4/shan1
苛刻 ke1/ke4
苛求 ke1/qiu2
苛责 ke1/ze2
科班 ke1/ban1
科长 ke1/zhang3
科大 ke1/da4
科级 ke1/ji2
科技 ke1/ji4
科教 ke1/jiao4
科举 ke1/ju3
科盲 ke1/mang2
科目 ke1/mu4
科普 ke1/pu3
科室 ke1/shi4
科委 ke1/wei3
科协 ke1/xie2
科学 ke1/xue2
科研 ke1/yan2
科员 ke1/yuan2
窠臼 ke1/jiu4
颗粒 ke1/li4
瞌睡 ke1/shui4
磕打 ke1/da3
磕碰 ke1/peng4
磕睡 ke1/shui4
磕头 ke1/tou2
蝌蚪 ke1/dou3
咳嗽 hai1/sou4
可爱 ke3/ai4
可悲 ke3/bei1
可比 ke3/bi3
可鄙 ke3/bi3
可变 ke3/bian4
可不 ke3/bu4
可耻 ke3/chi3
可出 ke3/chu1
可达 ke3/da2
可调 ke3/diao4
可恶 ke3/e4
可风 ke3/feng1
可否 ke3/fou3
可供 ke3/gong1
可观 ke3/guan1
可贵 ke3/gui4
可好 ke3/hao3
可恨 ke3/hen4
可见 ke3/jian4
可敬 ke3/jing4
可看 ke3/kan4
可靠 ke3/kao4
可口 ke3/kou3
可乐 ke3/le4
可怜 ke3/lian2
可能 ke3/neng2
可逆 ke3/ni4
可怕 ke3/pa4
可亲 ke3/qin1
可取 ke3/qu3
可使 ke3/shi3
可是 ke3/shi4
可他 ke3/ta1
可望 ke3/wang4
可为 ke3/wei4
可谓 ke3/wei4
可我 ke3/wo3
可惜 ke3/xi1
可喜 ke3/xi3
可先 ke3/xian1
可笑 ke3/xiao4
可信 ke3/xin4
可行 ke3/xing2
可疑 ke3/yi2
可以 ke3/yi3
可因 ke3/yin1
可用 ke3/yong4
可由 ke3/you2
可有 ke3/you3
可憎 ke3/zeng1
可知 ke3/zhi1
渴望 ke3/wang4
克服 ke4/fu2
克己 ke4/ji3
克扣 ke4/kou4
克拉 ke4/la1
克朗 ke4/lang3
克隆 ke4/long2
克制 ke4/zhi4
刻板 ke4/ban3
刻薄 ke4/bao2
刻度 ke4/du4
刻工 ke4/gong1
刻骨 ke4/gu3
刻划 ke4/hua4
刻画 ke4/hua4
刻苦 ke4/ku3
刻意 ke4/yi4
刻有 ke4/you3
客舱 ke4/cang1
客场 ke4/chang3
客车 ke4/che1
客店 ke4/dian4
客队 ke4/dui4
客房 ke4/fang2
客观 ke4/guan1
客户 ke4/hu4
客货 ke4/huo4
客机 ke4/ji1
客流 ke4/liu2
客隆 ke4/long2
客轮 ke4/lun2
客满 ke4/man3
客票 ke4/piao4
客气 ke4/qi4
客人 ke4/ren2
客商 ke4/shang1
客套 ke4/tao4
客体 ke4/ti3
客厅 ke4/ting1
客运 ke4/yun4
客栈 ke4/zhan4
恪守 ke4/shou3
课本 ke4/ben3
课程 ke4/cheng2
课间 ke4/jian1
课目 ke4/mu4
课时 ke4/shi2
课堂 ke4/tang2
课题 ke4/ti2
课外 ke4/wai4
课文 ke4/wen2
课余 ke4/yu2
课桌 ke4/zhuo1
嗑睡 ke1/shui4
肯定 ken3/ding4
肯干 ken3/gan4
垦荒 ken3/huang1
垦区 ken3/qu1
垦殖 ken3/zhi2
恳切 ken3/qie4
恳请 ken3/qing3
恳求 ken3/qiu2
吭气 keng1/qi4
吭声 keng1/sheng1
坑道 keng1/dao4
坑害 keng1/hai4
坑木 keng1/mu4
铿锵 keng1/qiang1
空白 kong1/bai2
空地 kong1/de
空调 kong1/diao4
空洞 kong1/dong4
空额 kong1/e2
空乏 kong1/fa2
空防 kong1/fang2
空格 kong1/ge2
空喊 kong1/han3
空话 kong1/hua4
空间 kong1/jian1
空降 kong1/jiang4
空姐 kong1/jie3
空军 kong1/jun1
空旷 kong1/kuang4
空阔 kong1/kuo4
空虑 kong1/lv4
空难 kong1/nan2
空气 kong1/qi4
空前 kong1/qian2
空缺 kong1/que1
空谈 kong1/tan2
空头 kong1/tou2
空投 kong1/tou2
空位 kong1/wei4
空文 kong1/wen2
空袭 kong1/xi2
空隙 kong1/xi4
空闲 kong1/xian2
空想 kong1/xiang3
空心 kong1/xin1
空虚 kong1/xu1
空穴 kong1/xue2
空域 kong1/yu4
空运 kong1/yun4
空载 kong1/zai4
空战 kong1/zhan4
空中 kong1/zhong1
空转 kong1/zhuan3
空子 kong1/zi
孔府 kong3/fu3
孔径 kong3/jing4
孔雀 kong3/que4
孔隙 kong3/xi4
孔型 kong3/xing2
孔子 kong3/zi
恐怖 kong3/bu4
恐慌 kong3/huang1
恐惧 kong3/ju4
恐龙 kong3/long2
恐怕 kong3/pa4
恐吓 kong3/xia4
控拆 kong4/chai1
